shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono3_fix1/shell1_X0_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 7.57376537453448 7.664413314073836 6.2832271699623625 21.521405858570677 18  0.00147896 0.00145606 0.00141480 0.00162699 0.00161660 0.00162707 0.00161718 -0.00000001 -0.00000000 -0.00014810 -0.00017100 -0.00020239
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 6.283227169962361 7.664413314073836 7.664413321585641 21.612053805621837 18  0.00028928 0.00028170 0.00026963 0.00017845 0.00017684 0.00017854 0.00017684 -0.00000000 0.00000000 0.00011074 0.00010317 0.00009279
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono3_fix1/shell1_X-1_Y0_Z-1_mono1_fix1//test20tig_AVDZ// DONE 7.57376537453448 9.762161015101716 4.565751484644253 21.90167787428045 18  -0.00241932 -0.00243015 -0.00248266 -0.00301092 -0.00304883 -0.00301124 -0.00304891 -0.00000001 -0.00000000 0.00059193 0.00058110 0.00056626
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z-1_mono1_fix1/shell1_X1_Y0_Z0_mono3_fix1//test20tig_AVDZ// DONE 9.762161009125471 7.573765382331708 4.565751484644253 21.90167787610143 18  0.00605721 0.00596163 0.00590200 0.00613559 0.00620702 0.00613550 0.00620682 -0.00000001 0.00000000 -0.00007828 -0.00017385 -0.00030483
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X0_Y0_Z-1_mono2_fix1//test20tig_AVDZ// DONE 4.565751472509687 9.763617675955022 7.573765389968425 21.903134538433136 18  -0.00354190 -0.00350784 -0.00347462 -0.00392626 -0.00393993 -0.00392642 -0.00393987 -0.00000001 -0.00000001 0.00038453 0.00041859 0.00046526
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono3_fix1/shell1_X-1_Y0_Z1_mono1_fix1//test20tig_AVDZ// DONE 7.57376537453448 4.565751497945122 9.763617676156576 21.903134548636178 18  -0.00778685 -0.00769955 -0.00755732 -0.00929667 -0.00927368 -0.00929627 -0.00927370 -0.00000001 -0.00000000 0.00150944 0.00159674 0.00171638
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono2_fix1/shell1_X0_Y0_Z-1_mono1_fix1//test20tig_AVDZ// DONE 4.565751472509687 9.762161009125471 7.66441332146008 21.992325803095238 18  0.00339392 0.00337498 0.00334036 0.00402166 0.00401295 0.00402171 0.00401304 0.00000000 -0.00000000 -0.00062779 -0.00064673 -0.00067268
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z1_mono3_fix1/shell1_X-1_Y0_Z0_mono1_fix1//test20tig_AVDZ// DONE 9.762161009190821 4.565751485280802 7.664413314073838 21.99232580854546 18  0.00429881 0.00427136 0.00426681 0.00525195 0.00528538 0.00525221 0.00528525 -0.00000001 0.00000000 -0.00095340 -0.00098084 -0.00101845
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z-1_mono2_fix1/shell1_X0_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 9.763617675955022 7.664413314073836 4.565751485810556 21.993782475839414 18  -0.00165555 -0.00163165 -0.00157464 -0.00190246 -0.00187797 -0.00190204 -0.00187777 -0.00000001 -0.00000001 0.00024650 0.00027039 0.00030314
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y-1_Z1_mono3_fix1/shell1_X-1_Y-1_Z0_mono1_fix1//test20tig_AVDZ// DONE 9.763617676156576 7.664413329244467 4.565751484644253 21.993782490045295 18  0.00017758 0.00015986 0.00011367 0.00018711 0.00016549 0.00018711 0.00016521 -0.00000001 -0.00000000 -0.00000952 -0.00002724 -0.00005153
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y-1_Z-1_mono0_fix1/shell1_X1_Y0_Z0_mono3_fix1//test20tig_AVDZ// DONE 10.574170213290166 7.573765382331708 4.565751484644253 22.713687080266126 18  -0.00312720 -0.00314630 -0.00327461 -0.00404884 -0.00415256 -0.00405005 -0.00415221 -0.00000001 0.00000000 0.00092286 0.00090376 0.00087759
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono3_fix1/shell1_X0_Y-1_Z0_mono1_fix1//test20tig_AVDZ// DONE 7.57376537453448 7.573765389968425 7.5737653823317075 22.72129614683461 6  -0.00173769 -0.00170763 -0.00165530 -0.00208037 -0.00207011 -0.00208110 -0.00206997 -0.00000002 0.00000000 0.00034343 0.00037349 0.00041467
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z1_mono3_fix1/shell1_X1_Y0_Z0_mono3_fix1//test20tig_AVDZ// DONE 4.565751484644253 7.573765382331708 10.707029454809259 22.84654632178522 18  0.00021785 0.00020650 0.00019373 0.00038731 0.00038979 0.00038730 0.00039007 -0.00000003 -0.00000000 -0.00016942 -0.00018078 -0.00019634
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono3_fix1/shell1_X-1_Y0_Z0_mono2_fix1//test20tig_AVDZ// DONE 7.57376537453448 7.66441332146008 7.664413314073836 22.902592010068396 18  -0.00020119 -0.00019690 -0.00020424 -0.00031529 -0.00032860 -0.00031548 -0.00032871 -0.00000001 0.00000000 0.00011430 0.00011859 0.00012446
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y1_Z-1_mono0_fix1/shell1_X1_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 10.707029454809257 7.664413321585641 4.565751473146237 22.937194249541136 18  0.00078319 0.00079083 0.00080387 0.00084248 0.00084472 0.00084224 0.00084478 -0.00000002 -0.00000000 -0.00005903 -0.00005138 -0.00004091
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z1_mono3_fix1/shell1_X1_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 4.565751473146237 7.664413321585641 10.707029454809257 22.937194249541136 18  -0.00537694 -0.00530712 -0.00525462 -0.00619118 -0.00623465 -0.00619146 -0.00623466 -0.00000001 -0.00000000 0.00081454 0.00088436 0.00098004
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X-1_Y0_Z-1_mono1_fix1//test20tig_AVDZ// DONE 4.565751472509687 9.762161015101716 8.69884916629692 23.026761653908324 18  0.00002387 0.00003556 0.00002077 0.00009066 0.00005922 0.00009027 0.00005945 -0.00000000 -0.00000000 -0.00006640 -0.00005470 -0.00003868
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X1_Y0_Z1_mono1_fix1//test20tig_AVDZ// DONE 4.565751472509687 9.76361768192448 8.69884916629692 23.028218320731085 18  0.00358847 0.00354652 0.00350965 0.00408592 0.00410643 0.00408584 0.00410647 -0.00000000 -0.00000001 -0.00049737 -0.00053932 -0.00059681
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X1_Y0_Z1_mono0_fix1//test20tig_AVDZ// DONE 4.565751472509687 8.813938135457056 9.762161015101716 23.141850623068457 18  0.00065377 0.00064910 0.00063528 0.00048707 0.00047918 0.00048716 0.00047974 -0.00000000 0.00000000 0.00016662 0.00016195 0.00015554
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono2_fix1/shell1_X0_Y-1_Z-1_mono2_fix1//test20tig_AVDZ// DONE 4.565751472509687 9.763617681924476 8.813938135457056 23.14330728989122 18  0.00019408 0.00018437 0.00015640 -0.00002591 -0.00004090 -0.00002577 -0.00004045 -0.00000001 -0.00000000 0.00021986 0.00021015 0.00019685
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono3_fix1/shell1_X0_Y0_Z1_mono1_fix1//test20tig_AVDZ// DONE 7.57376537453448 4.565751485174007 11.474829462410431 23.61434632211892 18  0.00706599 0.00694761 0.00678431 0.00773447 0.00773318 0.00773453 0.00773344 -0.00000002 -0.00000000 -0.00066853 -0.00078690 -0.00094912
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono3_fix1/shell1_X0_Y0_Z1_mono2_fix1//test20tig_AVDZ// DONE 7.57376537453448 4.565751485280802 11.50145518534497 23.64097204516025 18  -0.00737079 -0.00731202 -0.00726110 -0.00897709 -0.00900696 -0.00897685 -0.00900648 -0.00000001 0.00000000 0.00160608 0.00166484 0.00174537
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z1_mono2_fix1/shell1_X1_Y0_Z0_mono3_fix1//test20tig_AVDZ// DONE 4.565751485280802 7.573765382331708 11.527201388382554 23.666718255995065 18  0.00345241 0.00343956 0.00343682 0.00448759 0.00450207 0.00448765 0.00450250 -0.00000001 -0.00000000 -0.00103523 -0.00104808 -0.00106568
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z-1_mono2_fix1/shell1_X-1_Y0_Z0_mono1_fix1//test20tig_AVDZ// DONE 11.553299729505836 4.565751485280802 7.573765389968425 23.692816604755063 18  0.00056987 0.00057975 0.00058478 0.00088958 0.00088098 0.00088948 0.00088096 -0.00000001 -0.00000000 -0.00031960 -0.00030972 -0.00029618
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z1_mono3_fix1/shell1_X1_Y0_Z1_mono2_fix1//test20tig_AVDZ// DONE 4.565751473146237 7.664413329244467 11.474829462410431 23.704994264801137 18  -0.00364349 -0.00357294 -0.00350967 -0.00388636 -0.00391980 -0.00388624 -0.00391966 -0.00000001 -0.00000000 0.00024276 0.00031331 0.00041000
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z1_mono3_fix1/shell1_X0_Y1_Z1_mono1_fix1//test20tig_AVDZ// DONE 4.565751473146237 7.664413328971884 11.50145518534497 23.73161998746309 18  -0.00139403 -0.00136588 -0.00131995 -0.00117402 -0.00116707 -0.00117450 -0.00116716 -0.00000001 -0.00000000 -0.00021952 -0.00019137 -0.00015279
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z0_mono2_fix1/shell1_X-1_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 7.66441332146008 11.527201388382554 4.565751473146237 23.757366182988868 18  -0.00176920 -0.00174634 -0.00175567 -0.00201182 -0.00205266 -0.00201200 -0.00205266 -0.00000001 -0.00000000 0.00024282 0.00026567 0.00029699
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z-1_mono2_fix1/shell1_X0_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 11.553299729505836 7.664413314073836 4.5657514973085735 23.783464540888247 18  0.00392992 0.00391757 0.00390474 0.00505217 0.00505540 0.00505148 0.00505557 -0.00000001 -0.00000000 -0.00112155 -0.00113390 -0.00115083
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono3_fix1/shell1_X1_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 7.57376537453448 7.664413321585641 8.698849166296922 23.937027862417043 18  0.00063477 0.00061218 0.00058608 0.00067736 0.00068286 0.00067779 0.00068265 -0.00000001 -0.00000000 -0.00004301 -0.00006561 -0.00009657
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono3_fix1/shell1_X-1_Y-1_Z0_mono0_fix1//test20tig_AVDZ// DONE 7.57376537453448 8.813938135457056 7.664413321585641 24.052116831577177 18  -0.00028917 -0.00031685 -0.00035225 -0.00049301 -0.00048998 -0.00049282 -0.00049030 -0.00000001 0.00000000 0.00020365 0.00017597 0.00013805
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z-1_mono1_fix1/shell1_X0_Y0_Z-1_mono2_fix1//test20tig_AVDZ// DONE 9.762161009125471 9.763617675955022 4.565751472509687 24.091530157590178 18  -0.00354298 -0.00351748 -0.00349450 -0.00432073 -0.00433283 -0.00432067 -0.00433265 -0.00000001 -0.00000001 0.00077770 0.00080320 0.00083815
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X1_Y-1_Z1_mono3_fix1//test20tig_AVDZ// DONE 4.565751472509687 9.76361768212603 9.762161015036366 24.091530169672083 18  0.00093595 0.00092451 0.00092909 0.00088672 0.00090673 0.00088643 0.00090669 -0.00000001 -0.00000000 0.00004953 0.00003809 0.00002241
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y-1_Z-1_mono2_fix1/shell1_X0_Y0_Z-1_mono1_fix1//test20tig_AVDZ// DONE 9.763617681924476 9.762161009125471 4.565751485280802 24.09153017633075 18  0.00157211 0.00159872 0.00164446 0.00197435 0.00198316 0.00197375 0.00198302 -0.00000001 -0.00000001 -0.00040162 -0.00037502 -0.00033855
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z1_mono3_fix1/shell1_X0_Y0_Z1_mono2_fix1//test20tig_AVDZ// DONE 9.762161015036366 4.565751485280802 9.763617676156574 24.091530176473743 18  0.00117870 0.00115190 0.00110114 0.00106580 0.00105182 0.00106561 0.00105158 -0.00000001 -0.00000000 0.00011310 0.00008630 0.00004957
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z1_mono3_fix1/shell1_X0_Y1_Z1_mono0_fix1//test20tig_AVDZ// DONE 4.565751473146237 8.69884916629692 11.474829462410431 24.73943010185359 18  0.00119287 0.00116021 0.00109780 0.00095740 0.00093926 0.00095661 0.00093895 -0.00000001 -0.00000000 0.00023626 0.00020361 0.00015885
